"1995","963"
"1996","897"
"1997","982"
"1998","1125"
"1999","1042"
"2000","1062"
"2001","1064"
"2002","1074"
"2003","1043"
"2004","1045"
"2005","1049"
"2006","1103"
"2007","1108"
"2008","1093"
"2009","1075"
"2010","1049"
"2011","1006"
"2012","990"
"2013","971"
"2014","967"
"2015","954"
"2016","1070"
"2017","772"
